ID,Alias,Type,Published,Insight,Method,Data,Management,Temporal,sp_start,sp_end,time_start,time_end,Title
1,LDS,paper,y,,1,,,Annual,1,1.2,1,1.1,A linear dynamical systems approach to streamflow reconstruction reveals history of regime shifts in northern Thailand
2,Angat,paper,y,,,,1,Sub-annual,1.3,1.5,1.95,2.05,"On the value of ENSO state for urban water supply system operators: opportunities, trade?offs, and challenges."
3,Paleo Asia,paper,y,1,1,1,,Annual,1,3,0.7,0.8,Coherent streamflow variability in Monsoon Asia over the past eight centuries—links to oceanic drivers
4,Commentary,commentary,y,,,,,,3.4,3.4,2,2,Time to use dendrohydrological data in water resources management?
5,Multi-proxy,paper,n,,1,,,Sub-annual,1.7,1.9,1,1.1,"Multi-proxy, multi-season streamflow reconstruction with mass balance adjustment"
6,Earth's Future,paper,y,1,,,1,Sub-annual,1.7,1.9,1.15,1.25,The Greater Mekong’s climate-water-energy nexus: how ENSO-triggered regional droughts affect power supply and CO<sub>2</sub> emissions
7,QSR,review,n,,,,,,1.7,1.9,1.35,1.35,The Southeast Asian Dendrochronology Project: Hydroclimate variability over the past millennium.
8,FLO1K,paper,n,,,1,,Annual,1,3,0.85,0.95,A high-resolution paleo streamflow record for Monsoon Asia with surrogate streamflow data.
9,Water management,paper,n,,1,,1,Sub-annual,2,2.2,1,3,The value of streamflow reconstruction in the Chao Phraya River Basin
10,Envelope,paper,n,1,,,1,Annual,3,3.2,1,3,Envelope
